Date,BTC,US20Y
2017-08-16,4376.629883,2.580000
2017-08-17,4331.689941,2.540000
2017-08-18,4160.620117,2.540000
2017-08-21,4001.739990,2.520000
2017-08-22,4100.520020,2.550000
2017-08-23,4151.520020,2.510000
2017-08-24,4334.680176,2.530000
2017-08-25,4371.600098,2.510000
2017-08-28,4382.660156,2.510000
2017-08-29,4579.020020,2.480000
2017-08-30,4565.299805,2.490000
2017-08-31,4703.390137,2.470000
2017-09-01,4892.009766,2.510000
2017-09-05,4376.529785,2.430000
2017-09-06,4597.120117,2.460000
2017-09-07,4599.879883,2.400000
2017-09-08,4228.750000,2.410000
2017-09-11,4161.270020,2.490000
2017-09-12,4130.810059,2.520000
2017-09-13,3882.590088,2.530000
2017-09-14,3154.949951,2.520000
2017-09-15,3637.520020,2.520000
2017-09-18,4065.199951,2.560000
2017-09-19,3924.969971,2.570000
2017-09-20,3905.949951,2.590000
2017-09-21,3631.040039,2.570000
2017-09-22,3630.699951,2.570000
2017-09-25,3926.070068,2.530000
2017-09-26,3892.350098,2.540000
2017-09-27,4200.669922,2.620000
2017-09-28,4174.729980,2.630000
2017-09-29,4163.069824,2.630000
2017-10-02,4409.319824,2.640000
2017-10-03,4317.479980,2.630000
2017-10-04,4229.359863,2.640000
2017-10-05,4328.410156,2.650000
2017-10-06,4370.810059,2.680000
2017-10-10,4781.990234,2.650000
2017-10-11,4826.479980,2.640000
2017-10-12,5446.910156,2.620000
2017-10-13,5647.209961,2.580000
2017-10-16,5725.589844,2.580000
2017-10-17,5605.509766,2.580000
2017-10-18,5590.689941,2.620000
2017-10-19,5708.520020,2.600000
2017-10-20,6011.450195,2.670000
2017-10-23,5930.319824,2.660000
2017-10-24,5526.640137,2.700000
2017-10-25,5750.799805,2.720000
2017-10-26,5904.830078,2.740000
2017-10-27,5780.899902,2.710000
2017-10-30,6130.529785,2.660000
2017-10-31,6468.399902,2.660000
2017-11-01,6767.310059,2.630000
2017-11-02,7078.500000,2.610000
2017-11-03,7207.759766,2.590000
2017-11-06,7022.759766,2.580000
2017-11-07,7144.379883,2.560000
2017-11-08,7459.689941,2.570000
2017-11-09,7143.580078,2.590000
2017-11-10,6618.140137,2.670000
2017-11-13,6559.490234,2.670000
2017-11-14,6635.750000,2.640000
2017-11-15,7315.540039,2.580000
2017-11-16,7871.689941,2.620000
2017-11-17,7708.990234,2.590000
2017-11-20,8200.639648,2.600000
2017-11-21,8071.259766,2.580000
2017-11-22,8253.549805,2.570000
2017-11-24,8253.690430,2.580000
2017-11-27,9818.349609,2.570000
2017-11-28,10058.799805,2.580000
2017-11-29,9888.610352,2.620000
2017-11-30,10233.599609,2.650000
2017-12-01,10975.599609,2.580000
2017-12-04,11657.200195,2.580000
2017-12-05,11916.700195,2.550000
2017-12-06,14291.500000,2.530000
2017-12-07,17899.699219,2.580000
2017-12-08,16569.400391,2.590000
2017-12-11,16936.800781,2.590000
2017-12-12,17415.400391,2.600000
2017-12-13,16408.199219,2.560000
2017-12-14,16564.000000,2.530000
2017-12-15,17706.900391,2.520000
2017-12-18,19114.199219,2.570000
2017-12-19,17776.699219,2.660000
2017-12-20,16624.599609,2.710000
2017-12-21,15802.900391,2.680000
2017-12-22,13831.799805,2.680000
2017-12-26,16099.799805,2.660000
2017-12-27,15838.500000,2.590000
2017-12-28,14606.500000,2.600000
2017-12-29,14656.200195,2.580000
2018-01-02,14982.099609,2.640000
2018-01-03,15201.000000,2.620000
2018-01-04,15599.200195,2.620000
2018-01-05,17429.500000,2.640000
2018-01-08,15170.099609,2.650000
2018-01-09,14595.400391,2.720000
2018-01-10,14973.299805,2.730000
2018-01-11,13405.799805,2.720000
2018-01-12,13980.599609,2.710000
2018-01-16,11490.500000,2.690000
2018-01-17,11188.599609,2.710000
2018-01-18,11474.900391,2.770000
2018-01-19,11607.400391,2.780000
2018-01-22,10931.400391,2.790000
2018-01-23,10868.400391,2.770000
2018-01-24,11359.400391,2.800000
2018-01-25,11259.400391,2.760000
2018-01-26,11171.400391,2.790000
2018-01-29,11296.400391,2.820000
2018-01-30,10106.299805,2.860000
2018-01-31,10221.099609,2.830000
2018-02-01,9170.540039,2.900000
2018-02-02,8830.750000,2.970000
2018-02-05,6955.270020,2.920000
2018-02-06,7754.000000,2.940000
2018-02-07,7621.299805,3.010000
2018-02-08,8265.589844,3.030000
2018-02-09,8736.980469,3.020000
2018-02-12,8926.570312,3.020000
2018-02-13,8598.309570,2.990000
2018-02-14,9494.629883,3.070000
2018-02-15,10166.400391,3.040000
2018-02-16,10233.900391,3.020000
2018-02-20,11403.700195,3.040000
2018-02-21,10690.400391,3.110000
2018-02-22,10005.000000,3.090000
2018-02-23,10301.099609,3.040000
2018-02-26,10366.700195,3.030000
2018-02-27,10725.599609,3.060000
2018-02-28,10397.900391,3.020000
2018-03-01,10951.000000,2.970000
2018-03-02,11086.400391,3.020000
2018-03-05,11573.299805,3.040000
2018-03-06,10779.900391,3.030000
2018-03-07,9965.570312,3.040000
2018-03-08,9395.009766,3.010000
2018-03-09,9337.549805,3.040000
2018-03-12,9205.120117,3.000000
2018-03-13,9194.849609,2.980000
2018-03-14,8269.809570,2.940000
2018-03-15,8300.860352,2.940000
2018-03-16,8338.349609,2.960000
2018-03-19,8630.650391,2.970000
2018-03-20,8913.469727,3.010000
2018-03-21,8929.280273,3.010000
2018-03-22,8728.469727,2.940000
2018-03-23,8879.620117,2.940000
2018-03-26,8209.400391,2.960000
2018-03-27,7833.040039,2.900000
2018-03-28,7954.479980,2.890000
2018-03-29,7165.700195,2.850000
2018-04-02,7083.799805,2.850000
2018-04-03,7456.109863,2.900000
2018-04-04,6853.839844,2.910000
2018-04-05,6811.470215,2.950000
2018-04-06,6636.319824,2.890000
2018-04-09,6770.729980,2.890000
2018-04-10,6834.759766,2.890000
2018-04-11,6968.319824,2.870000
2018-04-12,7889.250000,2.920000
2018-04-13,7895.959961,2.910000
2018-04-16,8058.669922,2.910000
2018-04-17,7902.089844,2.890000
2018-04-18,8163.419922,2.950000
2018-04-19,8294.309570,3.010000
2018-04-20,8845.830078,3.040000
2018-04-23,8930.879883,3.050000
2018-04-24,9697.500000,3.080000
2018-04-25,8845.740234,3.120000
2018-04-26,9281.509766,3.080000
2018-04-27,8987.049805,3.030000
2018-04-30,9240.549805,3.010000
2018-05-01,9119.009766,3.030000
2018-05-02,9235.919922,3.040000
2018-05-03,9743.860352,3.020000
2018-05-04,9700.759766,3.020000
2018-05-07,9373.009766,3.020000
2018-05-08,9234.820312,3.040000
2018-05-09,9325.179688,3.070000
2018-05-10,9043.940430,3.040000
2018-05-11,8441.490234,3.030000
2018-05-14,8716.790039,3.060000
2018-05-15,8510.379883,3.140000
2018-05-16,8368.830078,3.160000
2018-05-17,8094.319824,3.190000
2018-05-18,8250.969727,3.140000
2018-05-21,8418.990234,3.130000
2018-05-22,8041.779785,3.140000
2018-05-23,7557.819824,3.090000
2018-05-24,7587.339844,3.060000
2018-05-25,7480.140137,3.010000
2018-05-29,7472.589844,2.870000
2018-05-30,7406.520020,2.930000
2018-05-31,7494.169922,2.910000
2018-06-01,7541.450195,2.960000
2018-06-04,7514.470215,3.000000
2018-06-05,7633.759766,2.990000
2018-06-06,7653.979980,3.050000
2018-06-07,7678.240234,3.000000
2018-06-08,7624.919922,3.000000
2018-06-11,6906.919922,3.020000
2018-06-12,6582.359863,3.020000
2018-06-13,6349.899902,3.040000
2018-06-14,6675.350098,2.990000
2018-06-15,6456.580078,2.980000
2018-06-18,6734.819824,2.980000
2018-06-19,6769.939941,2.950000
2018-06-20,6776.549805,2.990000
2018-06-21,6729.740234,2.970000
2018-06-22,6083.689941,2.970000
2018-06-25,6249.180176,2.950000
2018-06-26,6093.669922,2.950000
2018-06-27,6157.129883,2.900000
2018-06-28,5903.439941,2.910000
2018-06-29,6218.299805,2.910000
2018-07-02,6614.180176,2.920000
2018-07-03,6529.589844,2.890000
2018-07-05,6639.140137,2.880000
2018-07-06,6673.500000,2.870000
2018-07-09,6741.750000,2.900000
2018-07-10,6329.950195,2.910000
2018-07-11,6394.709961,2.890000
2018-07-12,6228.810059,2.890000
2018-07-13,6238.049805,2.870000
2018-07-16,6741.750000,2.900000
2018-07-17,7321.040039,2.910000
2018-07-18,7370.779785,2.930000
2018-07-19,7466.859863,2.900000
2018-07-20,7354.129883,2.960000
2018-07-23,7711.109863,3.040000
2018-07-24,8424.269531,3.020000
2018-07-25,8181.390137,3.000000
2018-07-26,7951.580078,3.050000
2018-07-27,8165.009766,3.030000
2018-07-30,8180.479980,3.050000
2018-07-31,7780.439941,3.030000
2018-08-01,7624.910156,3.070000
2018-08-02,7567.149902,3.060000
2018-08-03,7434.390137,3.030000
2018-08-06,6951.799805,3.020000
2018-08-07,6753.120117,3.060000
2018-08-08,6305.799805,3.050000
2018-08-09,6568.229980,3.010000
2018-08-10,6184.709961,2.960000
2018-08-13,6297.569824,2.970000
2018-08-14,6199.709961,2.980000
2018-08-15,6308.520020,2.950000
2018-08-16,6334.729980,2.950000
2018-08-17,6580.629883,2.950000
2018-08-20,6308.529785,2.910000
2018-08-21,6488.759766,2.930000
2018-08-22,6376.709961,2.910000
2018-08-23,6534.879883,2.900000
2018-08-24,6719.959961,2.890000
2018-08-27,6884.640137,2.920000
2018-08-28,7096.279785,2.960000
2018-08-29,7047.160156,2.960000
2018-08-30,6978.229980,2.930000
2018-08-31,7037.580078,2.950000
2018-09-04,7361.660156,2.990000
2018-09-05,6792.830078,3.000000
2018-09-06,6529.169922,2.980000
2018-09-07,6467.069824,3.030000
2018-09-10,6329.700195,3.020000
2018-09-11,6321.200195,3.060000
2018-09-12,6351.799805,3.040000
2018-09-13,6517.310059,3.040000
2018-09-14,6512.709961,3.070000
2018-09-17,6281.200195,3.070000
2018-09-18,6371.299805,3.140000
2018-09-19,6398.540039,3.160000
2018-09-20,6519.669922,3.150000
2018-09-21,6734.950195,3.140000
2018-09-24,6595.410156,3.150000
2018-09-25,6446.470215,3.170000
2018-09-26,6495.000000,3.140000
2018-09-27,6676.750000,3.130000
2018-09-28,6644.129883,3.130000
2018-10-01,6589.620117,3.180000
2018-10-02,6556.100098,3.140000
2018-10-03,6502.589844,3.240000
