Date,BTC,US20Y
2020-05-29,9439.124023,1.180000
2020-06-05,9665.533203,1.460000
2020-06-12,9480.843750,1.240000
2020-06-19,9288.018555,1.230000
2020-06-26,9162.917969,1.150000
2020-07-03,9087.303711,1.200000
2020-07-10,9278.807617,1.120000
2020-07-17,9151.392578,1.110000
2020-07-24,9536.892578,1.030000
2020-07-31,11323.466797,0.980000
2020-08-07,11601.472656,1.010000
2020-08-14,11768.871094,1.210000
2020-08-21,11592.489258,1.130000
2020-08-28,11542.500000,1.290000
2020-09-04,10511.813477,1.250000
2020-09-11,10400.915039,1.210000
2020-09-18,10944.585938,1.240000
2020-09-25,10692.716797,1.190000
2020-10-02,10575.974609,1.250000
2020-10-09,11064.458008,1.340000
2020-10-16,11322.123047,1.300000
2020-10-23,12931.539062,1.410000
2020-10-30,13546.522461,1.430000
2020-11-06,15565.880859,1.370000
2020-11-13,16317.808594,1.430000
2020-11-20,18621.314453,1.330000
2020-11-27,17108.402344,1.360000
2020-12-04,18699.765625,1.530000
2020-12-11,18058.904297,1.420000
2020-12-18,23137.960938,1.490000
2020-12-25,24664.791016,1.460000
2021-01-01,29374.152344,1.450000
2021-01-08,40797.609375,1.670000
2021-01-15,36825.367188,1.660000
2021-01-22,33005.761719,1.660000
2021-01-29,34316.386719,1.680000
2021-02-05,38144.308594,1.790000
2021-02-12,47504.851562,1.830000
2021-02-19,55888.132812,1.980000
2021-02-26,46339.761719,2.080000
2021-03-05,48927.304688,2.180000
2021-03-12,57332.089844,2.310000
2021-03-19,58346.652344,2.360000
2021-03-26,55137.312500,2.270000
2021-04-02,59384.312500,2.270000
2021-04-09,58245.003906,2.230000
2021-04-16,61572.789062,2.150000
2021-04-23,51093.652344,2.140000
2021-04-30,57750.175781,2.190000
2021-05-07,57356.402344,2.170000
2021-05-14,49880.535156,2.250000
2021-05-21,37304.691406,2.240000
2021-05-28,35697.605469,2.180000
2021-06-04,36894.406250,2.160000
2021-06-11,37334.398438,2.080000
2021-06-18,35787.246094,1.970000
2021-06-25,31637.779297,2.090000
2021-07-02,33897.046875,1.980000
2021-07-09,33798.011719,1.910000
2021-07-16,31421.539062,1.860000
2021-07-23,33581.550781,1.850000
2021-07-30,42235.546875,1.810000
2021-08-06,42816.500000,1.850000
2021-08-13,47793.320312,1.850000
2021-08-20,49339.175781,1.790000
2021-08-27,49058.667969,1.840000
2021-09-03,50025.375000,1.870000
2021-09-10,44883.910156,1.860000
2021-09-17,47267.519531,1.850000
2021-09-24,42839.750000,1.940000
2021-10-01,48116.941406,1.990000
2021-10-08,53967.847656,2.110000
2021-10-15,61593.949219,2.020000
2021-10-22,60692.265625,2.060000
2021-10-29,62227.964844,1.980000
2021-11-05,61125.675781,1.880000
2021-11-12,64155.941406,1.990000
2021-11-19,58119.578125,1.950000
2021-11-26,53569.765625,1.890000
2021-12-03,53598.246094,1.770000
2021-12-10,47243.304688,1.910000
2021-12-17,46202.144531,1.870000
2021-12-24,50822.195312,1.940000
2021-12-31,46306.445312,1.940000
2022-01-07,41557.902344,2.150000
2022-01-14,43099.699219,2.180000
2022-01-21,36457.316406,2.130000
2022-01-28,37784.332031,2.140000
2022-02-04,41500.875000,2.290000
2022-02-11,42407.937500,2.300000
2022-02-18,40030.976562,2.300000
2022-02-25,39214.218750,2.370000
2022-03-04,39137.605469,2.230000
2022-03-11,38794.972656,2.450000
2022-03-18,41801.156250,2.530000
2022-03-25,44348.730469,2.740000
2022-04-01,46281.644531,2.600000
2022-04-08,42287.664062,2.940000
2022-04-15,40553.464844,3.090000
2022-04-22,39740.320312,3.140000
2022-04-29,38609.824219,3.140000
2022-05-06,36040.921875,3.430000
2022-05-13,29283.103516,3.320000
2022-05-20,29200.740234,3.170000
2022-05-27,28627.574219,3.160000
2022-06-03,29704.390625,3.330000
2022-06-10,29083.804688,3.450000
2022-06-17,20471.482422,3.550000
2022-06-24,21231.656250,3.510000
2022-07-01,19269.367188,3.350000
2022-07-08,21731.117188,3.530000
2022-07-15,20836.328125,3.340000
2022-07-22,22714.978516,3.230000
2022-07-29,23804.632812,3.200000
2022-08-05,23289.314453,3.270000
2022-08-12,24402.818359,3.340000
2022-08-19,20877.552734,3.440000
2022-08-26,20260.019531,3.440000
2022-09-02,19969.771484,3.610000
2022-09-09,21381.152344,3.710000
2022-09-16,19772.583984,3.790000
2022-09-23,19297.638672,3.870000
2022-09-30,19431.789062,4.080000
